date,Station,phyto
2021-03-17 00:00:00.000000000,L5b,80
2021-03-22 00:00:00.000000000,L5b,140
2021-03-26 00:00:00.000000000,L5b,20
2021-03-29 00:00:00.000000000,L5b,20
2021-04-05 00:00:00.000000000,L5b,20
2021-04-09 00:00:00.000000000,L5b,20
2021-04-15 00:00:00.000000000,L5b,20
2021-04-20 00:00:00.000000000,L5b,660
2021-04-23 00:00:00.000000000,L5b,20
2021-04-26 00:00:00.000000000,L5b,20
2021-05-05 00:00:00.000000000,L5b,40
2021-05-13 00:00:00.000000000,L5b,2500
2021-05-14 00:00:00.000000000,L5b,20
2021-05-19 00:00:00.000000000,L5b,1700
2021-05-25 00:00:00.000000000,L5b,20
2021-05-28 00:00:00.000000000,L5b,20
2021-05-31 00:00:00.000000000,L5b,120
2021-06-08 00:00:00.000000000,L5b,20
2021-06-16 00:00:00.000000000,L5b,20
2021-06-23 00:00:00.000000000,L5b,20
2021-06-25 00:00:00.000000000,L5b,20
2021-06-30 00:00:00.000000000,L5b,40
2021-07-07 00:00:00.000000000,L5b,20
2021-07-08 00:00:00.000000000,L5b,2520
2021-07-13 00:00:00.000000000,L5b,140
2021-07-22 00:00:00.000000000,L5b,12300
2021-07-28 00:00:00.000000000,L5b,10900
2021-08-02 00:00:00.000000000,L5b,80
2021-08-05 00:00:00.000000000,L5b,20
2021-08-11 00:00:00.000000000,L5b,4200
2021-08-16 00:00:00.000000000,L5b,254320
2021-08-23 00:00:00.000000000,L5b,27080
2021-08-25 00:00:00.000000000,L5b,69000
2021-08-30 00:00:00.000000000,L5b,80
2021-09-01 00:00:00.000000000,L5b,20
2021-09-06 00:00:00.000000000,L5b,200
2021-09-07 00:00:00.000000000,L5b,380
2021-09-08 00:00:00.000000000,L5b,20
2021-09-14 00:00:00.000000000,L5b,20
2021-09-20 00:00:00.000000000,L5b,120
2021-09-28 00:00:00.000000000,L5b,220
2021-10-04 00:00:00.000000000,L5b,20
2021-10-06 00:00:00.000000000,L5b,20
2021-10-12 00:00:00.000000000,L5b,20
2021-10-19 00:00:00.000000000,L5b,20
2021-10-20 00:00:00.000000000,L5b,120
2021-10-27 00:00:00.000000000,L5b,520
2021-11-03 00:00:00.000000000,L5b,20
2021-11-08 00:00:00.000000000,L5b,80
2021-11-11 00:00:00.000000000,L5b,20
2021-11-18 00:00:00.000000000,L5b,20
2021-11-22 00:00:00.000000000,L5b,20
2021-11-23 00:00:00.000000000,L5b,20
2021-11-29 00:00:00.000000000,L5b,20
2021-12-06 00:00:00.000000000,L5b,20
2021-12-07 00:00:00.000000000,L5b,20
2021-12-14 00:00:00.000000000,L5b,20
2021-12-21 00:00:00.000000000,L5b,20
2021-12-23 00:00:00.000000000,L5b,20
2021-12-27 00:00:00.000000000,L5b,20
2022-01-03 00:00:00.000000000,L5b,20
2022-01-04 00:00:00.000000000,L5b,20
2022-01-10 00:00:00.000000000,L5b,20
2022-01-17 00:00:00.000000000,L5b,20
2022-01-18 00:00:00.000000000,L5b,20
2022-01-24 00:00:00.000000000,L5b,20
2022-02-01 00:00:00.000000000,L5b,20
2022-02-07 00:00:00.000000000,L5b,20
2022-02-14 00:00:00.000000000,L5b,220
2022-02-16 00:00:00.000000000,L5b,20
2022-02-24 00:00:00.000000000,L5b,20
2022-02-28 00:00:00.000000000,L5b,20
2022-02-28 00:00:00.000000000,L5b,20
2022-03-09 00:00:00.000000000,L5b,20
2022-03-16 00:00:00.000000000,L5b,20
2022-03-17 00:00:00.000000000,L5b,20
2022-03-22 00:00:00.000000000,L5b,20
2022-03-30 00:00:00.000000000,L5b,160
2022-03-31 00:00:00.000000000,L5b,20
2022-04-06 00:00:00.000000000,L5b,20
2022-04-11 00:00:00.000000000,L5b,20
2022-04-14 00:00:00.000000000,L5b,60
2022-04-19 00:00:00.000000000,L5b,20
2022-04-26 00:00:00.000000000,L5b,80
2022-04-27 00:00:00.000000000,L5b,740
2022-05-03 00:00:00.000000000,L5b,20
2022-05-10 00:00:00.000000000,L5b,400
2022-05-13 00:00:00.000000000,L5b,20
2022-05-17 00:00:00.000000000,L5b,20
2022-05-25 00:00:00.000000000,L5b,20
2022-05-26 00:00:00.000000000,L5b,20
2022-06-01 00:00:00.000000000,L5b,100
2022-06-06 00:00:00.000000000,L5b,60
2022-06-14 00:00:00.000000000,L5b,140
2022-06-14 00:00:00.000000000,L5b,60
2022-06-22 00:00:00.000000000,L5b,120
2022-06-29 00:00:00.000000000,L5b,200
2022-07-04 00:00:00.000000000,L5b,20
2022-07-11 00:00:00.000000000,L5b,60
2022-07-14 00:00:00.000000000,L5b,120
2022-07-18 00:00:00.000000000,L5b,60
2022-07-27 00:00:00.000000000,L5b,2900
2022-07-29 00:00:00.000000000,L5b,80
2022-08-01 00:00:00.000000000,L5b,80
2022-08-10 00:00:00.000000000,L5b,80
2022-08-16 00:00:00.000000000,L5b,160
2022-08-25 00:00:00.000000000,L5b,240
2022-08-29 00:00:00.000000000,L5b,20
2022-09-05 00:00:00.000000000,L5b,60
2022-09-08 00:00:00.000000000,L5b,40
2022-09-14 00:00:00.000000000,L5b,20
2022-09-19 00:00:00.000000000,L5b,20
2022-09-21 00:00:00.000000000,L5b,40
2022-09-29 00:00:00.000000000,L5b,20
2022-10-03 00:00:00.000000000,L5b,20
2022-10-07 00:00:00.000000000,L5b,20
2022-10-12 00:00:00.000000000,L5b,40
2022-10-17 00:00:00.000000000,L5b,60
2022-10-21 00:00:00.000000000,L5b,20
2022-10-26 00:00:00.000000000,L5b,20
2022-11-02 00:00:00.000000000,L5b,20
