Station,date,dsp_toxins
L7c1,2022-02-28,36.0
L7c1,2022-03-07,36.0
L7c1,2022-03-15,36.0
L7c1,2022-03-23,36.0
L7c1,2022-03-31,36.0
L7c1,2022-04-06,36.0
L7c1,2022-04-09,36.0
L7c1,2022-04-18,36.0
L7c1,2022-04-26,62.206943546286624
L7c1,2022-05-03,74.39608044460024
L7c1,2022-05-10,36.0
L7c1,2022-05-16,352.0
L7c1,2022-05-24,345.0
L7c1,2022-05-31,550.0
L7c1,2022-06-07,550.0
L7c1,2022-06-14,171.75119900218863
L7c1,2022-06-21,105.16058964277299
L7c1,2022-06-28,142.57994743894537
L7c1,2022-07-05,72.32648608112525
L7c1,2022-07-19,147.06859978359114
L7c1,2022-07-26,106.24763425427288
L7c1,2022-08-02,94.18032827998915
L7c1,2022-08-09,88.26266273985298
L7c1,2022-08-16,36.0
L7c1,2022-08-22,36.0
L7c1,2022-08-29,61.18603145673775
L7c1,2022-09-05,65.04122192592749
L7c1,2022-09-11,36.0
L7c1,2022-09-20,36.0
L7c1,2022-09-26,96.65208865142654
L7c1,2022-10-03,36.0
L7c1,2022-10-11,90.0
L7c1,2022-10-17,119.0
L7c1,2022-10-25,112.0
L7c1,2022-11-02,77.02498277682426
L7c1,2022-11-08,36.0
L7c1,2022-11-15,36.0
L7c1,2022-11-22,36.0
L7c1,2022-11-29,36.0
L7c1,2022-12-06,36.0
L7c1,2022-12-10,36.0
L7c1,2022-12-20,36.0
L7c1,2022-12-27,36.0
L7c1,2023-01-03,36.0
L7c1,2023-01-10,36.0
L7c1,2023-01-16,36.0
L7c1,2023-01-24,36.0
L7c1,2023-01-31,36.0
L7c1,2023-02-07,36.0
L7c1,2023-02-19,36.0
L7c1,2023-02-28,36.0
L7c1,2023-03-07,36.0
L7c1,2023-03-13,36.0
L7c1,2023-03-21,36.0
L7c1,2023-03-28,36.0
L7c1,2023-04-04,36.0
L7c1,2023-04-11,67.2201087200695
L7c1,2023-04-19,135.26996338027
L7c1,2023-04-26,124.917590719481
L7c1,2023-05-02,73.9241477934635
L7c1,2023-05-15,36.0
L7c1,2023-06-20,69.6098287015287
L7c1,2023-06-27,36.0
L7c1,2023-07-11,36.0
L7c1,2023-07-18,36.0
L7c1,2023-07-26,36.0
L7c1,2023-08-01,36.0
L7c1,2023-08-08,36.0
L7c1,2023-08-16,36.0
L7c1,2023-08-22,62.027724874638
L7c1,2023-08-29,60.0742375968239
L7c1,2023-09-05,36.0
L7c1,2023-09-12,36.0
L7c1,2023-09-19,53.3456187028844
L7c1,2023-09-26,36.0
L7c1,2023-10-03,64.60922626894799
L7c1,2023-10-10,36.0
L7c1,2023-10-17,36.0
L7c1,2023-10-24,36.0
L7c1,2023-11-07,36.0
L7c1,2023-11-14,36.0
L7c1,2023-11-21,36.0
L7c1,2023-11-28,36.0
L7c1,2023-12-05,36.0
L7c1,2023-12-12,36.0
L7c1,2023-12-19,36.0
L7c1,2024-01-04,36
L7c1,2024-01-09,68.8655542827993
L7c1,2024-01-16,36
L7c1,2024-01-23,36
L7c1,2024-01-30,36
L7c1,2024-02-06,36
L7c1,2024-02-14,36
L7c1,2024-02-20,36
L7c1,2024-03-05,36
L7c1,2024-03-12,36
L7c1,2024-03-19,36
L7c1,2024-03-26,77.2619967088148
L7c1,2024-04-02,90.8068594157031
L7c1,2024-04-09,36
L7c1,2024-04-16,203.723720779535
L7c1,2024-04-30,413.989629018575
L7c1,2024-05-07,70.0678372429065
